"","Response.ID","City.area","Age","Comments"
"124","gzCKnGhn","Port Townsend (outside the city limits)","35-54","I miss having a pool to use for lap swimming and if we had easy access to one I would use it several times a week."
"125","InB6oMU7","Chimacum","65-74","Don’t try to have everything or it won’t get built. Just build a swimming pool."
"126","eafSn3qW","Port Townsend (outside the city limits)","75+",""
"127","t1DTgZxv","Port Townsend (outside the city limits)","75+","used the pool daily when younger.we support uses for younger people -my daughter used the pool daily as a teenager. healthy place for younger folks to go and recreate"
"128","x1B6yD68","Port Townsend (within city limits)","75+","Why not a HEATED outdoor pool open in the summer? Why unheated? Sounds crazy at this latitude."
"129","GtkGSYF2","Port Townsend (within city limits)","75+",""
"130","X5CKJNBw","Port Townsend (within city limits)","75+",""
"131","IDfQEEg5","Port Townsend (outside the city limits)","65-74",""
"132","UsCKXPVy","Port Hadlock-Irondale","65-74",""
"133","2PEBPdv5","Quilcene","35-54","Locating in Hadlock is an accessibility game changer for S County, fully support this facility"
"134","jIDTpeJf","Port Townsend (within city limits)","65-74",""
"135","6uB6Hbve","Port Hadlock-Irondale","65-74",""
"136","wMfy0Hdn","Port Townsend (within city limits)","75+",""
"137","IQCiw8TM","Port Townsend (within city limits)","35-54","Let's do it!"
"138","pef5uShx","Port Townsend (within city limits)","75+",""
"139","5CfIOqPc","Port Townsend (outside the city limits)","65-74",""
"140","lIDTyrBg","Port Townsend (within city limits)","75+","Keep it simple…just a pool.  As inexpensive to build and maintain as possible."
"141","Xbk6RsLD","Chimacum","18-34",""
"142","vSCiJjyy","Port Hadlock-Irondale","75+",""
"143","iiCK7UZT","Port Townsend (within city limits)","75+","Please consider construction of a saltwater pool rather than a chlorinated one."
"144","SBk74yjt","Quilcene","75+","Pleased about central location. Even though my use would be limited, i see the value for the community. Concerned, though... With present federal chaos, that there is small chance of  grants to subsidize the cost. The details and scope of planned pool facility will reveal the actual possibilty of this small tax base being able to afford the cost."
"145","3vC4ynP7","Port Townsend (within city limits)","35-54","I never used the pool because I never felt welcome there. I appreciate the outreach and hope this pool is accessible to and welcoming of the diverse backgrounds in our community that are often left out"
"146","OZCY65XV","Port Townsend (outside the city limits)","55-64","I don't use the Mountain View pool because the acoustics are poor in the building so that it's very loud and unnerving, also there is too much chlorine in the pool and it hurts my eyes, and the dressing rooms have very little privacy. If those things were addressed in the planning and construction of this aquatic center, I would love to use it because I love to swim. When I lived in Port Ludlow, I frequently visited that pool."
"147","y2B6jHLV","Chimacum","65-74",""
"148","lVCif2hp","Port Ludlow","35-54","I would love it if a pool was built in port hadlock!!!"
"149","h5CYyv2E","Port Ludlow","35-54","I don’t have children but would support the tax for an aquatic center for kids and teens too, whether in Port Hadlock or Port Townsend. Though, personally, I would use it more in Port Hadlock, it seems most people are in Port Townsend so perhaps it should be there instead."
"150","WZfPuLIc","Quilcene","35-54",""
"151","oFCYYxxy","Port Townsend (within city limits)","35-54","Personally I would love to see more diversity in the facility and curate a therapeutic pool space for aquatic bodywork in our area "
"152","C6k1RDn3","Coyle","65-74",""
"153","i5B6Dv2e","Marrowstone","65-74",""
"154","hcEBXWii","Port Townsend (within city limits)","65-74","Very important for the youth!"
"155","1dC4vYt0","Port Townsend (within city limits)","65-74","The current Port Townsend pool is aging and the community needs a new pool. In the past political  pressures by a minority of people have obstructed that process. I hope that the County Council gives themselves the opportunity to act as leaders and approve a new pool. If costs are an issue (as they always are) please retain the aquatic aspect of the plan and let go of the non- aquatic. There are many  private and public non-aquatic activities already available, however there is no decent pool. Please, just be sensible and take the middle path this time."
"156","86CYxXVO","Chimacum","65-74","Don’t be greedy, we need modest facilities and then add on late."
"157","TCEBxjUk","Port Townsend (outside the city limits)","65-74",""
"158","QcCYSOdy","Port Townsend (outside the city limits)","65-74","It would make sense to have a 50-meter pool with capability to partition into 2 25-yd pools to give swimmers in this area exposure to long-course practice and events, as well as traditional short-course."
"159","aXC4xj8r","Port Hadlock-Irondale","55-64",""
"160","mFCKbnb3","Port Ludlow","35-54","This would benefit every age group across the board. We live near water and it is improtant to have swimming lessons close by. We have been driving 45 min to the Y in Silverdale. I grew up having access to a community pool and as I age I would love to use it for exercise and rehab if injured. A coffee shop and social gathering place would also be such a benefit to the area."
"161","zTCYSh5b","Port Townsend (outside the city limits)","35-54",""
"162","EakWUBv0","Port Townsend (within city limits)","18-34",""
